한글종목명,해당일종가,현재가,전일대비구분,전일대비,전일대비율,종가 전일대비구분,종가 전일대비,종가 전일대비율,연속일,거래강도,누적거래량,업종구분,매도총호가수량,매도총호가수량,매도1호가,매도1호가,매도 1호가 수량,매도1호가 수량,날짜
루멘스                                  ,2870,2180,2,60,2.83,1,660,29.86,1,150,446088,1,47427,48238,2180,2175,34634,21271,20190102
EDGC                                    ,5220,5500,3,0,0,1,1200,29.85,1,117.4,69035,1,6866,13982,5510,5500,420,1162,20190102
디케이티                                ,14100,13000,2,650,5.26,1,3250,29.95,1,148.37,406307,1,23101,13372,13050,13000,256,1148,20190102
데코앤이                                ,275,1460,0,0,0,1,63,29.72,1,0,0,1,0,0,0,0,0,0,20190103
에스씨디                                ,1455,1085,2,5,0.46,1,335,29.91,1,68.8,82225,1,33720,66902,1085,1080,2170,1930,20190103
에프엔에스테크                          ,5370,5870,2,210,3.71,1,1235,29.87,1,492.8,67494,1,6209,14156,5880,5870,386,4697,20190103
아이엠텍                                ,1675,1075,2,30,2.87,1,385,29.84,1,106.85,372270,1,59637,38430,1075,1070,1665,4808,20190103
좋은사람들                              ,6020,3490,2,20,0.58,1,1385,29.88,1,47.8,269555,1,25446,32951,3495,3490,1200,2406,20190104
넥슨지티                                ,8280,7360,2,70,0.96,1,1910,29.98,1,77.6,412637,1,22157,13253,7360,7350,2221,390,20190104
이노인스트루먼트                        ,6680,3745,5,90,-2.35,1,1540,29.96,1,74.62,14868,1,5317,5341,3770,3745,94,670,20190104
넷게임즈                                ,9580,11400,2,400,3.64,1,2210,29.99,1,79.51,232028,1,56527,28606,11450,11400,10393,6981,20190104
와이비엠넷                              ,3965,4405,2,60,1.38,1,915,30,1,208.76,995313,1,13592,19958,4410,4405,2804,3443,20190105
풍강                                    ,4420,3400,5,75,-2.16,1,1020,30,1,338.87,600376,1,7612,12020,3405,3400,480,378,20190105
와이비엠넷                              ,3965,4405,2,60,1.38,1,915,30,1,208.76,995313,1,13592,19958,4410,4405,2804,3443,20190106
풍강                                    ,4420,3400,5,75,-2.16,1,1020,30,1,338.87,600376,1,7612,12020,3405,3400,480,378,20190106
와이비엠넷                              ,3965,4405,2,60,1.38,1,915,30,1,208.76,995313,1,13592,19958,4410,4405,2804,3443,20190107
풍강                                    ,4420,3400,5,75,-2.16,1,1020,30,1,338.87,600376,1,7612,12020,3405,3400,480,378,20190107
시그네틱스                              ,1085,1105,2,20,1.84,1,247,29.47,1,216.77,2111395,1,534755,200595,1105,1100,120805,4593,20190108
넥슨지티                                ,12700,7360,2,70,0.96,1,2930,29.99,1,77.6,412637,1,22157,13253,7360,7350,2221,390,20190108
유니트론텍                              ,5750,6200,5,10,-0.16,1,1325,29.94,1,36.45,47891,1,5587,5774,6250,6200,69,181,20190108
파워넷                                  ,4335,4435,5,35,-0.78,1,1000,29.99,1,25.78,145847,1,6455,3918,4440,4435,33,119,20190109
우원개발                                ,5310,4150,2,40,0.97,1,1220,29.83,1,317.9,318241,1,7497,9024,4150,4145,1917,300,20190109
한국테크놀로지                          ,876,1515,2,40,2.71,1,202,29.97,1,148.75,837025,1,214221,71837,1520,1515,40267,5626,20190110
서전기전                                ,5860,3700,2,15,0.41,1,1345,29.79,1,133.85,32564,1,1021,3863,3705,3700,54,386,20190110
토박스코리아                            ,1100,1395,2,10,0.72,1,252,29.72,1,21.17,3678158,1,399246,346703,1395,1390,6942,8871,20190110
뉴프라이드                              ,2505,1205,5,65,-5.12,1,575,29.79,1,15.41,4517149,1,218560,629919,1205,1200,50831,161055,20190110
키네마스터                              ,3135,12700,5,50,-0.39,1,720,29.81,1,93.84,17376,1,3698,1944,12700,12500,73,4,20190111
옵티팜                                  ,11700,8910,5,50,-0.56,1,2700,30,1,55.4,86115,1,3438,10382,8930,8910,1,257,20190111
토박스코리아                            ,1430,1395,2,10,0.72,1,330,30,2,21.17,3678158,1,399246,346703,1395,1390,6942,8871,20190111
